NAME,STATE,COUNTY,CITY,MAX_VOLT,MIN_VOLT,LINES,LATITUDE,LONGITUDE,LON,LAT
UNKNOWN156418,MI,EATON,CHARLOTTE,-999999,-999999,0,42.54258344,-84.82678454,-84.82678454,42.542583439999994
UNKNOWN156419,MI,EATON,BELLEVUE TWP,-999999,-999999,0,42.45056383,-85.03345046,-85.03345046,42.45056383
UNKNOWN156420,MI,EATON,EATON RAPIDS,-999999,-999999,0,42.51633735,-84.6795444,-84.6795444,42.51633734999999
UNKNOWN156421,MI,EATON,EATON RAPIDS,-999999,-999999,0,42.51978212,-84.65179879,-84.65179879,42.519782119999995
TAP156113,IL,JERSEY,DOW,-999999,-999999,2,38.999505,-90.348285,-90.348285,38.999505
UNKNOWN156422,MI,TUSCOLA,VASSAR,-999999,-999999,0,43.36750945,-83.48206109,-83.48206108999999,43.367509449999986
TAP156114,IL,JERSEY,DOW,-999999,-999999,2,38.99949,-90.338667,-90.338667,38.99948999999999
UNKNOWN156423,MI,SAGINAW,BIRCH RUN,-999999,-999999,0,43.249834,-83.7926136,-83.7926136,43.249834
TAP156115,IL,JERSEY,JERSEYVILLE,-999999,-999999,3,39.10866814,-90.3218671,-90.32186710000002,39.108668139999985
UNKNOWN156424,MI,GENESEE,FLINT TWP,-999999,-999999,0,42.98823523,-83.74800362,-83.74800362,42.98823523
TAP156116,IL,MORGAN,CHAPIN,138,138,3,39.809919,-90.372922,-90.372922,39.80991899999999
UNKNOWN156425,OK,TILLMAN,DAVIDSON,-999999,-999999,1,34.2470524,-99.08005196,-99.08005196,34.247052399999994
TAP156117,IL,SANGAMON,SPRINGFIELD,69,69,3,39.81461478,-89.63010109,-89.63010109000001,39.81461478
MONTICELLO,IL,PIATT,MONTICELLO,-999999,-999999,3,40.03055736,-88.57707161,-88.57707161,40.03055736
TAP156118,IL,SANGAMON,SPRINGFIELD,69,69,3,39.78666491,-89.70618274,-89.70618274000002,39.78666491
UNKNOWN156427,IL,COOK,FOREST PARK,-999999,-999999,0,41.87240349,-87.81691935,-87.81691935,41.87240349
TAP156119,IL,SANGAMON,SPRINGFIELD,69,69,3,39.788884,-89.687162,-89.687162,39.78888400000001
UNKNOWN156428,IL,COOK,CHICAGO,-999999,-999999,0,41.86766462,-87.75520163,-87.75520163,41.86766462
TAP156120,IL,SANGAMON,SPRINGFIELD,69,69,3,39.74257004,-89.68621805,-89.68621805,39.74257004
UNKNOWN156429,IL,COOK,CHICAGO,-999999,-999999,0,41.91646527,-87.75390508,-87.75390508,41.916465269999996
TAP156122,IL,ST. CLAIR,FREEBURG,138,138,3,38.384536,-89.853246,-89.853246,38.38453599999998
UNKNOWN156430,IL,COOK,CHICAGO,-999999,-999999,0,41.94827738,-87.74151283,-87.74151282999999,41.94827737999999
TAP156123,IL,WILLIAMSON,MARION,-999999,-999999,3,37.718664,-88.964974,-88.964974,37.718664
TAP156124,IL,HAMILTON,MC LEANSBORO,69,69,3,38.0713205,-88.56683948,-88.56683948,38.0713205
TAP155916,TN,DAVIDSON,NASHVILLE,161,161,3,36.1676409,-86.86843873,-86.86843872999998,36.16764089999999
UNKNOWN156432,IL,COOK,CHICAGO,-999999,-999999,0,41.97931392,-87.80767037,-87.80767037,41.97931392
TAP156125,IL,WAYNE,JOHNSONVILLE,69,69,3,38.502797,-88.508668,-88.508668,38.502797
TAP155917,TN,DAVIDSON,NASHVILLE,161,161,3,36.16766695,-86.86832802,-86.86832802,36.167666949999976
TAP156126,IL,WAYNE,CISNE,69,69,3,38.50072632,-88.40278428,-88.40278428,38.50072631999999
UNKNOWN156433,IL,COOK,CHICAGO,-999999,-999999,2,41.90229606,-87.64621515,-87.64621515,41.90229605999998
TAP156127,IL,WAYNE,CISNE,69,69,3,38.54488103,-88.40190126,-88.40190126,38.54488102999999
TAP156128,IL,CLAY,CLAY CITY,69,69,3,38.620687,-88.382548,-88.382548,38.620687000000004
UNKNOWN156434,MI,BAY,LINWOOD,-999999,-999999,0,43.71222063,-84.08721724,-84.08721724000002,43.71222062999999
TAP155919,AL,MARENGO,LINDEN,115,115,3,32.3315152,-87.78756037,-87.78756037,32.33151519999999
TAP156129,IL,CLAY,CLAY CITY,69,69,3,38.677402,-88.38177,-88.38176999999999,38.67740199999999
UNKNOWN156435,MI,OGEMAW,WEST BRANCH,138,138,2,44.25945483,-84.18678542,-84.18678542,44.25945483
TAP155920,AL,MARENGO,LINDEN,115,115,3,32.29349142,-87.78459731,-87.78459731,32.293491419999995
TAP156130,IL,CHAMPAIGN,CHAMPAIGN,138,138,3,40.069111,-88.275899,-88.275899,40.06911099999999
UNKNOWN156436,MI,OGEMAW,PRESCOTT,-999999,-999999,0,44.19447708,-83.92456248,-83.92456248,44.19447707999999
TAP155921,AL,BALDWIN,GULF SHORES,115,115,3,30.27652998,-87.69177695,-87.69177695,30.276529980000003
TAP156131,IL,CHAMPAIGN,CHAMPAIGN,-999999,-999999,3,40.09837438,-88.27664733,-88.27664733,40.09837438
UNKNOWN156437,IL,COOK,CHICAGO,138,138,2,41.74667939,-87.63968653,-87.63968653000002,41.74667938999999
TAP155922,AL,BALDWIN,FAIRHOPE,115,115,3,30.50156077,-87.8186525,-87.8186525,30.501560769999994
TAP156132,IL,CHAMPAIGN,CHAMPAIGN,-999999,-999999,3,40.11245,-88.295605,-88.295605,40.11245
UNKNOWN156438,IL,COOK,LA GRANGE PARK,138,138,2,41.83574996,-87.86600642,-87.86600642,41.835749959999994
TAP155923,AL,ELMORE,ELMORE,115,115,3,32.5539793,-86.322974,-86.322974,32.5539793
UNKNOWN156439,MI,IOSCO,OSCODA,-999999,-999999,0,44.4471144,-83.35456514,-83.35456514,44.4471144
TAP155924,AL,CULLMAN,CULLMAN,161,161,3,34.2004693,-86.8339961,-86.8339961,34.2004693
UNKNOWN156440,MI,IOSCO,OSCODA,-999999,-999999,0,44.49301435,-83.35187936,-83.35187936,44.493014349999996
UNKNOWN156441,MI,MECOSTA,BIG RAPIDS,-999999,-999999,0,43.70604654,-85.46430265,-85.46430265,43.706046539999996
TAP155925,AL,DEKALB,FORT PAYNE,-999999,-999999,3,34.40194294,-85.64277097,-85.64277097,34.40194293999999
UNKNOWN156442,MI,KALAMAZOO,PORTAGE,-999999,-999999,0,42.19418996,-85.56175892,-85.56175892,42.19418996
UNKNOWN156443,MI,KALAMAZOO,PORTAGE,-999999,-999999,0,42.24385791,-85.58870183,-85.58870183,42.24385791
TAP156133,IL,DE WITT,CLINTON,138,138,3,40.18398159,-88.96543129,-88.96543129,40.18398159
TAP156134,IA,DES MOINES,BURLINGTON,-999999,-999999,3,40.796893,-91.180204,-91.18020400000002,40.796893
TAP156135,IL,ST. CLAIR,BELLEVILLE,138,138,3,38.51325802,-90.01496113,-90.01496113000002,38.51325802
TAP156136,IL,WAYNE,CISNE,69,69,3,38.471989,-88.403389,-88.403389,38.47198899999999
TAP156137,IL,WAYNE,FAIRFIELD,69,69,3,38.40787045,-88.27658415,-88.27658415,38.40787044999999
TAP156138,IL,EDWARDS,WEST SALEM,69,69,3,38.432776,-88.057086,-88.05708600000001,38.43277599999999
UNKNOWN156453,AR,JEFFERSON,PINE BLUFF,115,115,1,34.26293668,-91.9362699,-91.93626989999999,34.26293668000001
TAP156139,IL,EDWARDS,ALBION,69,69,3,38.386834,-88.0572,-88.0572,38.386834
UNKNOWN156454,IN,FOUNTAIN,VEEDERSBURG,-999999,-999999,1,40.12781036,-87.30976532,-87.30976532,40.127810360000005
TAP156140,IL,EDWARDS,ALBION,69,69,3,38.361423,-88.048484,-88.048484,38.361422999999995
TAP156141,IL,MADISON,EAST ALTON,138,138,3,38.8816244,-90.12531613,-90.12531613,38.88162439999999
TAP156142,IL,MADISON,EAST ALTON,138,138,3,38.88176535,-90.12512898,-90.12512898,38.88176535000001
